"Title","2010 Population","Incorporated Cities or Towns"
"Anderson","75129","Clinton (9841), Norris (1629), Oak Ridge (29330), Oliver Springs (3231), Rocky Top (1781)"
"Bedford","45058","Bell Buckle (500), Normandy (141), Shelbyville (20335), Wartrace (651)"
"Benton","16489","Big Sandy (557), Camden (3582)"
"Bledsoe","12876","Pikeville (1608)"
"Blount","123010","Alcoa (8449), Friendsville (913), Louisville (4020), Maryville (27536), Rockford (856), Townsend (448)"
"Bradley","98963","Charleston (651), Cleveland (41285)"
"Campbell","40716","Caryville (2297), Jacksboro (2020), Jellico (2355), LaFollette (7456), Rocky Top (1781)"
"Cannon","13801","Auburntown (269), Woodbury (2680)"
"Carroll","28522","Atwood (938), Bruceton (1478), Clarksburg (393), Hollow Rock (718), Huntingdon (3985), McKenzie (5310), McLemoresville (352), Trezevant (859)"
"Carter","57424","Elizabethton (14176), Johnson City (63152), Watauga (458)"
"Cheatham","39105","Ashland City (4541), Kingston Springs (2756), Pegram (2093), Pleasant View (4222)"
"Chester","17131","Enville (189), Henderson (6309), Milledgeville (265), Silerton (111)"
"Claiborne","32213","Cumberland Gap (494), Harrogate (4389), New Tazewell (3037), Tazewell (2221)"
"Clay","7861","Celina (1495)"
"Cocke","35662","Newport (6945), Parrottsville (263)"
"Coffee","52796","Manchester (10102), Tullahoma (18655)"
"Crockett","14586","Alamo (2461), Bells (2437), Friendship (668), Gadsden (470), Maury City (674)"
"Cumberland","56053","Crab Orchard (752), Crossville (11022), Pleasant Hill (563)"
"Davidson","626681","Belle Meade (2912), Berry Hill (963), Forest Hills (5040), Goodlettsville (15921), Nashville/Davidson Co. (429421), Oak Hill (4689), Ridgetop (2054)"
"Decatur","11757","Decaturville (867), Parsons (2373), Scotts Hill (984)"
"DeKalb","18723","Alexandria (966), Dowelltown (355), Liberty (310), Smithville (4530)"
"Dickson","49666","Burns (1468), Charlotte (1235), Dickson (14538), Slayden (178), Vanleer (395), White Bluff (3206)"
"Dyer","38335","Dyersburg (17145), Newbern (3313), Trimble (637)"
"Fayette","38413","Braden (282), Gallaway (680), Grand Junction (325), La Grange (133), Moscow (556), Oakland (6623), Piperton (1632), Rossville (901), Somerville (3094), Williston (395)"
"Fentress","17959","Allardt (634), Jamestown (1959)"
"Franklin","41052","Cowan (1737), Decherd (2361), Estill Springs (2055), Huntland (872), Monteagle (1192), Tullahoma (18655), Winchester (8530)"
"Gibson","49683","Bradford (1048), Dyer (2341), Gibson (396), Humboldt (8452), Kenton (1281), Medina (4822), Milan (7851), Rutherford (1151), Trenton (4264), Yorkville (286)"
"Giles","29485","Ardmore (1213), Elkton (578), Lynnville (287), Minor Hill (537), Pulaski (7870)"
"Grainger","22657","Bean Station (3054), Blaine (1856), Rutledge (1299)"
"Greene","68831","Baileyton (431), Greeneville (15062), Mosheim (2362), Tusculum (2663)"
